All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
Bamboozler 14 Mk I,61,97,0.42,0.42,0.00,60,-1,,
.96 Gal Deco,62,89,0.39,0.45,-0.06,56,-6,,
Sorella Brella,63,89,0.39,0.29,0.09,72,9,,
E-liter 4K,64,88,0.38,0.37,0.01,64,0,,
New Squiffer,65,85,0.37,0.26,0.11,75,10,,
Aerospray MG,66,84,0.36,0.40,-0.03,62,-4,,
Foil Flingza Roller,67,83,0.36,0.34,0.02,68,1,,
Classic Squiffer,68,81,0.35,0.35,0.00,67,-1,,
Undercover Brella,69,72,0.31,0.19,0.13,78,9,,
Aerospray RG,70,72,0.31,0.27,0.04,73,3,,
Flingza Roller,71,71,0.31,0.35,-0.04,66,-5,,
L-3 Nozzlenose D,72,67,0.29,0.31,-0.02,69,-3,,
Splash-o-matic,73,64,0.28,0.36,-0.08,65,-8,,
Glooga Dualies,74,61,0.26,0.31,-0.04,70,-4,,
.96 Gal,75,60,0.26,0.30,-0.04,71,-4,,
Neo Sploosh-o-matic,76,59,0.26,0.26,-0.01,74,-2,,
L-3 Nozzlenose,77,42,0.18,0.17,0.01,79,2,,
Custom Goo Tuber,78,42,0.18,0.20,-0.02,76,-2,,
Custom E-liter 4K Scope,79,35,0.15,0.14,0.01,80,1,,
Goo Tuber,80,34,0.15,0.10,0.05,81,1,,
Squeezer,81,33,0.14,0.20,-0.06,77,-4,,
Carbon Roller Deco,82,33,0.14,,,,,,
H-3 Nozzlenose,83,31,0.13,0.10,0.04,82,-1,,
Custom E-liter 4K,84,29,0.13,0.10,0.03,83,-1,,
Luna Blaster Neo,85,20,0.09,0.06,0.02,84,-1,,
Custom Dualie Squelchers,86,9,0.04,,,,,,
Rapid Blaster Pro Deco,87,7,0.03,,,,,,
Undercover Sorella Brella,88,2,0.01,,,,,,
