All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
Tentatek Splattershot,11,716,2.39,2.25,0.14,10,-1,,,Inkbrush,189,2.46,29,18,,Tentatek Splattershot,216,2.72,11,0,,Splat Charger,169,2.53,7,-4,,Tri-Slosher,186,2.44,10,-1,,Curling-Bomb Launcher,108,0.36,,Splash Wall,864,2.89,,Tentatek Splattershot,406,2.4,11,0
Dapple Dualies Nouveau,12,687,2.3,1.78,0.52,15,3,,,Tri-Slosher,188,2.45,10,-2,,Rapid Blaster,167,2.1,9,-3,,Slosher Deco,160,2.4,20,8,,Tentatek Splattershot,170,2.23,11,-1,,,,,,,,,,Splattershot Jr.,376,2.22,14,2
Sploosh-o-matic,13,670,2.24,2.19,0.05,11,-2,,,N-ZAP '89,180,2.34,16,3,,Tri-Slosher,164,2.06,10,-3,,Dapple Dualies Nouveau,151,2.26,12,-1,,Range Blaster,156,2.05,19,6,,,,,,,,,,Sloshing Machine,374,2.21,15,2
Splattershot Jr.,14,664,2.22,2,0.22,13,-1,,,Dapple Dualies Nouveau,168,2.19,12,-2,,Sloshing Machine,159,2,15,1,,Tentatek Splattershot,136,2.04,11,-3,,Splatterscope,154,2.02,18,4,,,,,,,,,,Dapple Dualies Nouveau,372,2.2,12,-2
Sloshing Machine,15,565,1.89,2.17,-0.28,12,-3,,,Octobrush Nouveau,150,1.95,31,16,,Heavy Splatling,155,1.95,17,2,,Heavy Splatling,129,1.93,17,2,,Heavy Splatling,153,2.01,17,2,,,,,,,,,,Heavy Splatling,342,2.02,17,2
N-ZAP '89,16,515,1.72,1.95,-0.23,14,-2,,,Rapid Blaster,144,1.87,9,-7,,Splattershot Jr.,148,1.86,14,-2,,Firefin Splat Charger,118,1.77,36,20,,Splattershot Jr.,150,1.97,14,-2,,,,,,,,,,Slosher Deco,337,1.99,20,4
Heavy Splatling,17,505,1.69,1.35,0.34,19,2,,,Splat Charger,140,1.82,7,-10,,Splatterscope,141,1.77,18,1,,Range Blaster,115,1.72,19,2,,Dapple Dualies Nouveau,147,1.93,12,-5,,,,,,,,,,Range Blaster,294,1.74,19,2
Splatterscope,18,481,1.61,1.58,0.03,17,-1,,,Dualie Squelchers,133,1.73,21,3,,Dapple Dualies,138,1.74,25,7,,Gold Dynamo Roller,109,1.63,23,5,,Luna Blaster,124,1.63,26,8,,,,,,,,,,Sploosh-o-matic,276,1.63,13,-5
Range Blaster,19,470,1.57,1.62,-0.05,16,-3,,,Octobrush,125,1.63,22,3,,N-ZAP '89,133,1.67,16,-3,,Sploosh-o-matic,108,1.62,13,-6,,N-ZAP '89,116,1.52,16,-3,,,,,,,,,,Splatterscope,258,1.53,18,-1
Slosher Deco,20,461,1.54,1.09,0.45,30,10,,,Heavy Splatling Deco,122,1.59,33,13,,Slosher Deco,123,1.55,20,0,,Sloshing Machine,107,1.6,15,-5,,Splat Brella,114,1.5,27,7,,,,,,,,,,Splat Brella,227,1.34,27,7
Dualie Squelchers,21,453,1.51,1.34,0.17,20,-1,,,Dapple Dualies,112,1.46,25,4,,Dualie Squelchers,123,1.55,21,0,,Splat Brella,106,1.59,27,6,,Splattershot Pro,100,1.31,30,9,,,,,,,,,,Gold Dynamo Roller,223,1.32,23,2
Octobrush,22,405,1.35,1.29,0.06,22,0,,,Splat Dualies,109,1.42,24,2,,Octobrush,114,1.43,22,0,,Dualie Squelchers,103,1.54,21,-1,,Carbon Roller,96,1.26,28,6,,,,,,,,,,Dynamo Roller,217,1.28,32,10
Gold Dynamo Roller,23,398,1.33,1.31,0.02,21,-2,,,Sloshing Machine,107,1.39,15,-8,,Splat Dualies,112,1.41,24,1,,Splatterscope,97,1.45,18,-5,,Slosher Deco,96,1.26,20,-3,,,,,,,,,,Luna Blaster,202,1.19,26,3
Splat Dualies,24,393,1.31,1.21,0.1,25,1,,,Gold Dynamo Roller,106,1.38,23,-1,,Range Blaster,99,1.24,19,-5,,Dynamo Roller,91,1.36,32,8,,Dualie Squelchers,94,1.23,21,-3,,,,,,,,,,Dualie Squelchers,198,1.17,21,-3
Dapple Dualies,25,385,1.29,0.85,0.44,37,12,,,Carbon Roller,105,1.37,28,3,,Luna Blaster,96,1.21,26,1,,Splat Dualies,91,1.36,24,-1,,Gold Dynamo Roller,93,1.22,23,-2,,,,,,,,,,Dapple Dualies,197,1.17,25,0
Luna Blaster,26,379,1.27,1.38,-0.11,18,-8,,,Range Blaster,100,1.3,19,-7,,Carbon Roller,94,1.18,28,2,,Octobrush,88,1.32,22,-4,,Clash Blaster,92,1.21,34,8,,,,,,,,,,Octobrush,181,1.07,22,-4
Splat Brella,27,364,1.22,1.23,-0.01,23,-4,,,Splatterscope,89,1.16,18,-9,,Gold Dynamo Roller,90,1.13,23,-4,,Splattershot Pro,87,1.3,30,3,,Dynamo Roller,87,1.14,32,5,,,,,,,,,,Custom Blaster,169,1,38,11
Carbon Roller,28,351,1.17,1.15,0.02,27,-1,,,Luna Blaster,85,1.11,26,-2,,Splat Brella,85,1.07,27,-1,,N-ZAP '89,86,1.29,16,-12,,Sploosh-o-matic,82,1.08,13,-15,,,,,,,,,,N-ZAP '89,161,0.95,16,-12
Inkbrush,29,348,1.16,1.1,0.06,29,0,,,Slosher Deco,82,1.07,20,-9,,Dynamo Roller,77,0.97,32,3,,Heavy Splatling Deco,82,1.23,33,4,,Splat Dualies,81,1.06,24,-5,,,,,,,,,,Heavy Splatling Deco,161,0.95,33,4
Splattershot Pro,30,337,1.13,1.22,-0.09,24,-6,,,Splattershot Pro,77,1,30,0,,Inkbrush,75,0.94,29,-1,,Luna Blaster,74,1.11,26,-4,,Slosher,79,1.04,35,5,,,,,,,,,,Firefin Splat Charger,157,0.93,36,6
Octobrush Nouveau,31,326,1.09,1.12,-0.03,28,-3,,,.52 Gal,74,0.96,39,8,,Splattershot Pro,73,0.92,30,-1,,Dapple Dualies,73,1.09,25,-6,,Octobrush,78,1.02,22,-9,,,,,,,,,,Splattershot Pro,151,0.89,30,-1
Dynamo Roller,32,304,1.02,0.99,0.03,32,0,,,Heavy Splatling,68,0.88,17,-15,,Custom Jet Squelcher,69,0.87,37,5,,Firefin Splatterscope,58,0.87,51,19,,Custom Jet Squelcher,77,1.01,37,5,,,,,,,,,,Splat Dualies,144,0.85,24,-8
Heavy Splatling Deco,33,277,0.93,1.08,-0.15,31,-2,,,Inkbrush Nouveau,64,0.83,55,22,,Slosher,67,0.84,35,2,,Mini Splatling,58,0.87,42,9,,Octobrush Nouveau,65,0.85,31,-2,,,,,,,,,,Carbon Roller,142,0.84,28,-5
Clash Blaster,34,247,0.83,0.86,-0.03,36,2,,,Splash-o-matic,61,0.79,41,7,,Octobrush Nouveau,66,0.83,31,-3,,Custom Blaster,57,0.85,38,4,,Dapple Dualies,62,0.81,25,-9,,,,,,,,,,Slosher,137,0.81,35,1
Slosher,35,247,0.83,0.73,0.1,39,4,,,Clash Blaster,61,0.79,34,-1,,Custom Blaster,61,0.77,38,3,,Carbon Roller,56,0.84,28,-7,,.96 Gal,60,0.79,40,5,,,,,,,,,,.96 Gal,133,0.79,40,5
Firefin Splat Charger,36,243,0.81,0.92,-0.11,34,-2,,,Splat Brella,59,0.77,27,-9,,Splash-o-matic,59,0.74,41,5,,.96 Gal,53,0.79,40,4,,Custom Blaster,59,0.77,38,2,,,,,,,,,,Custom Jet Squelcher,130,0.77,37,1
Custom Jet Squelcher,37,234,0.78,0.94,-0.16,33,-4,,,Krak-On Splat Roller,58,0.75,50,13,,Clash Blaster,56,0.7,34,-3,,Aerospray MG,50,0.75,53,16,,Rapid Blaster Pro,55,0.72,45,8,,,,,,,,,,Inkbrush,127,0.75,29,-8
Custom Blaster,38,212,0.71,0.63,0.08,42,4,,,Classic Squiffer,56,0.73,44,6,,Goo Tuber,53,0.67,43,5,,Custom Splattershot Jr.,47,0.7,47,9,,Mini Splatling,51,0.67,42,4,,,,,,,,,,Mini Splatling,127,0.75,42,4
.52 Gal,39,210,0.7,1.15,-0.45,26,-13,,,Slosher,55,0.72,35,-4,,.52 Gal,52,0.65,39,0,,Rapid Blaster Pro,47,0.7,45,6,,.52 Gal,47,0.62,39,0,,,,,,,,,,Octobrush Nouveau,112,0.66,31,-8
.96 Gal,40,206,0.69,0.8,-0.11,38,-2,,,Firefin Splat Charger,55,0.72,36,-4,,Firefin Splat Charger,49,0.62,36,-4,,Slosher,46,0.69,35,-5,,Splash-o-matic,47,0.62,41,1,,,,,,,,,,Squeezer,106,0.63,48,8
Splash-o-matic,41,205,0.68,0.56,0.12,46,5,,,Custom Jet Squelcher,51,0.66,37,-4,,Squeezer,47,0.59,48,7,,Octobrush Nouveau,45,0.67,31,-10,,Inkbrush,47,0.62,29,-12,,,,,,,,,,Rapid Blaster Pro,105,0.62,45,4
Mini Splatling,42,198,0.66,0.89,-0.23,35,-7,,,Jet Squelcher,51,0.66,46,4,,.96 Gal,47,0.59,40,-2,,Goo Tuber,43,0.64,43,1,,Classic Squiffer,46,0.6,44,2,,,,,,,,,,Splash-o-matic,104,0.62,41,-1
Goo Tuber,43,187,0.62,0.52,0.1,48,5,,,Goo Tuber,50,0.65,43,0,,Classic Squiffer,46,0.58,44,1,,Splash-o-matic,38,0.57,41,-2,,Squeezer,45,0.59,48,5,,,,,,,,,,Goo Tuber,96,0.57,43,0
Classic Squiffer,44,175,0.58,0.66,-0.08,41,-3,,,Dynamo Roller,49,0.64,32,-12,,Mini Splatling,46,0.58,42,-2,,Clash Blaster,38,0.57,34,-10,,Jet Squelcher,42,0.55,46,2,,,,,,,,,,Clash Blaster,80,0.47,34,-10
Rapid Blaster Pro,45,171,0.57,0.67,-0.1,40,-5,,,.96 Gal,46,0.6,40,-5,,E-liter 4K Scope,44,0.55,49,4,,Inkbrush,37,0.55,29,-16,,Goo Tuber,41,0.54,43,-2,,,,,,,,,,.52 Gal,80,0.47,39,-6
Jet Squelcher,46,170,0.57,0.62,-0.05,44,-2,,,Mini Splatling,43,0.56,42,-4,,Jet Squelcher,40,0.5,46,0,,Custom Jet Squelcher,37,0.55,37,-9,,E-liter 4K Scope,40,0.52,49,3,,,,,,,,,,E-liter 4K Scope,74,0.44,49,3
Custom Splattershot Jr.,47,144,0.48,0.43,0.05,53,6,,,Tenta Brella,38,0.49,59,12,,Heavy Splatling Deco,38,0.48,33,-14,,.52 Gal,37,0.55,39,-8,,Heavy Splatling Deco,35,0.46,33,-14,,,,,,,,,,Firefin Splatterscope,71,0.42,51,4
Squeezer,48,144,0.48,0.63,-0.15,43,-5,,,Rapid Blaster Pro,36,0.47,45,-3,,L-3 Nozzlenose D,35,0.44,54,6,,Jet Squelcher,37,0.55,46,-2,,Custom Splattershot Jr.,34,0.45,47,-1,,,,,,,,,,L-3 Nozzlenose D,71,0.42,54,6
E-liter 4K Scope,49,142,0.47,0.48,-0.01,49,0,,,Custom Splattershot Jr.,36,0.47,47,-2,,Krak-On Splat Roller,34,0.43,50,1,,E-liter 4K Scope,35,0.52,49,0,,Bamboozler 14 Mk I,30,0.39,52,3,,,,,,,,,,Bamboozler 14 Mk I,70,0.41,52,3
Krak-On Splat Roller,50,139,0.46,0.6,-0.14,45,-5,,,Custom Blaster,35,0.46,38,-12,,Rapid Blaster Pro,33,0.41,45,-5,,Bamboozler 14 Mk I,30,0.45,52,2,,Krak-On Splat Roller,26,0.34,50,0,,,,,,,,,,Classic Squiffer,61,0.36,44,-6
Firefin Splatterscope,51,121,0.4,0.54,-0.14,47,-4,,,Bamboozler 14 Mk I,31,0.4,52,1,,Bamboozler 14 Mk I,29,0.36,52,1,,Classic Squiffer,27,0.4,44,-7,,Hydra Splatling,24,0.31,56,5,,,,,,,,,,Krak-On Splat Roller,52,0.31,50,-1
Bamboozler 14 Mk I,52,120,0.4,0.45,-0.05,51,-1,,,Aerospray MG,27,0.35,53,1,,Custom Splattershot Jr.,27,0.34,47,-5,,Squeezer,27,0.4,48,-4,,Firefin Splat Charger,21,0.28,36,-16,,,,,,,,,,Custom Splattershot Jr.,49,0.29,47,-5
Aerospray MG,53,108,0.36,0.47,-0.11,50,-3,,,Squeezer,25,0.33,48,-5,,Undercover Brella,26,0.33,61,8,,L-3 Nozzlenose D,25,0.37,54,1,,Foil Flingza Roller,21,0.28,60,7,,,,,,,,,,H-3 Nozzlenose,49,0.29,62,9
L-3 Nozzlenose D,54,100,0.33,0.44,-0.11,52,-2,,,Firefin Splatterscope,25,0.33,51,-3,,Glooga Dualies,25,0.31,63,9,,E-liter 4K,25,0.37,57,3,,H-3 Nozzlenose,20,0.26,62,8,,,,,,,,,,Hydra Splatling,49,0.29,56,2
Inkbrush Nouveau,55,95,0.32,0.35,-0.03,55,0,,,E-liter 4K Scope,23,0.3,49,-6,,Foil Flingza Roller,23,0.29,60,5,,Hydra Splatling,24,0.36,56,1,,E-liter 4K,20,0.26,57,2,,,,,,,,,,Jet Squelcher,46,0.27,46,-9
Hydra Splatling,56,88,0.29,0.4,-0.11,54,-2,,,L-3 Nozzlenose D,22,0.29,54,-2,,E-liter 4K,22,0.28,57,1,,Flingza Roller,22,0.33,58,2,,Undercover Brella,19,0.25,61,5,,,,,,,,,,Flingza Roller,42,0.25,58,2
E-liter 4K,57,82,0.27,0.31,-0.04,57,0,,,Aerospray RG,21,0.27,64,7,,Hydra Splatling,22,0.28,56,-1,,Krak-On Splat Roller,21,0.31,50,-7,,Flingza Roller,19,0.25,58,1,,,,,,,,,,L-3 Nozzlenose,39,0.23,65,8
Flingza Roller,58,79,0.26,0.2,0.06,65,7,,,Foil Flingza Roller,21,0.27,60,2,,Firefin Splatterscope,22,0.28,51,-7,,Undercover Brella,20,0.3,61,3,,L-3 Nozzlenose D,18,0.24,54,-4,,,,,,,,,,Foil Flingza Roller,37,0.22,60,2
Tenta Brella,59,78,0.26,0.28,-0.02,59,0,,,Flingza Roller,20,0.26,58,-1,,H-3 Nozzlenose,21,0.26,62,3,,Aerospray RG,18,0.27,64,5,,Firefin Splatterscope,16,0.21,51,-8,,,,,,,,,,Aerospray MG,37,0.22,53,-6
Foil Flingza Roller,60,78,0.26,0.24,0.02,61,1,,,L-3 Nozzlenose,18,0.23,65,5,,Aerospray MG,19,0.24,53,-7,,L-3 Nozzlenose,14,0.21,65,5,,Glooga Dualies,16,0.21,63,3,,,,,,,,,,E-liter 4K,35,0.21,57,-3
Undercover Brella,61,77,0.26,0.32,-0.06,56,-5,,,Hydra Splatling,18,0.23,56,-5,,Flingza Roller,18,0.23,58,-3,,Tenta Brella,14,0.21,59,-2,,Aerospray RG,12,0.16,64,3,,,,,,,,,,Undercover Brella,35,0.21,61,0
H-3 Nozzlenose,62,69,0.23,0.26,-0.03,60,-2,,,Glooga Dualies,15,0.2,63,1,,L-3 Nozzlenose,18,0.23,65,3,,H-3 Nozzlenose,14,0.21,62,0,,Aerospray MG,12,0.16,53,-9,,,,,,,,,,Inkbrush Nouveau,33,0.2,55,-7
Glooga Dualies,63,66,0.22,0.23,-0.01,62,-1,,,E-liter 4K,15,0.2,57,-6,,Custom E-liter 4K Scope,16,0.2,66,3,,Foil Flingza Roller,13,0.19,60,-3,,L-3 Nozzlenose,11,0.14,65,2,,,,,,,,,,Glooga Dualies,29,0.17,63,0
Aerospray RG,64,62,0.21,0.3,-0.09,58,-6,,,H-3 Nozzlenose,14,0.18,62,-2,,Tenta Brella,15,0.19,59,-5,,Inkbrush Nouveau,12,0.18,55,-9,,Tenta Brella,11,0.14,59,-5,,,,,,,,,,Tenta Brella,28,0.17,59,-5
L-3 Nozzlenose,65,61,0.2,0.21,-0.01,63,-2,,,Custom E-liter 4K,13,0.17,67,2,,Inkbrush Nouveau,12,0.15,55,-10,,Custom E-liter 4K,12,0.18,67,2,,Custom E-liter 4K Scope,9,0.12,66,1,,,,,,,,,,Aerospray RG,23,0.14,64,-1
Custom E-liter 4K Scope,66,45,0.15,0.21,-0.06,64,-2,,,Undercover Brella,12,0.16,61,-5,,Aerospray RG,11,0.14,64,-2,,Custom E-liter 4K Scope,10,0.15,66,0,,Custom E-liter 4K,8,0.1,67,1,,,,,,,,,,Custom E-liter 4K Scope,19,0.11,66,0
Custom E-liter 4K,67,42,0.14,0.15,-0.01,66,-1,,,Custom E-liter 4K Scope,10,0.13,66,-1,,Custom E-liter 4K,9,0.11,67,0,,Glooga Dualies,10,0.15,63,-4,,Inkbrush Nouveau,7,0.09,55,-12,,,,,,,,,,Custom E-liter 4K,14,0.08,67,0
