All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
Slosher,53,160,0.59,0.4820703654,0.11,58,5,,
Krak-On Splat Roller,54,158,0.58,0.5539580514,0.03,53,-1,,
Firefin Splat Charger,55,157,0.58,0.427097429,0.15,62,7,,
Flingza Roller,56,144,0.53,0.2706359946,0.26,73,17,,
Bamboozler 14 Mk I,57,140,0.52,0.5624154263,-0.05,52,-5,,
E-liter 4K Scope,58,136,0.50,0.5243572395,-0.02,56,-2,,
Firefin Splatterscope,59,133,0.49,0.4228687415,0.07,64,5,,
Foil Flingza Roller,60,127,0.47,0.2368064953,0.23,75,15,,
Mini Splatling,61,124,0.46,0.3552097429,0.10,66,5,,
New Squiffer,62,114,0.42,0.2917794317,0.13,72,10,,
Sorella Brella,63,110,0.40,0.448240866,-0.04,60,-3,,
Jet Squelcher,64,109,0.40,0.448240866,-0.05,59,-5,,
Inkbrush Nouveau,65,106,0.39,0.4228687415,-0.03,63,-2,,
E-liter 4K,66,103,0.38,0.3382949932,0.04,70,4,,
Splash-o-matic,67,101,0.37,0.5370433018,-0.17,54,-13,,
Custom Splattershot Jr.,68,101,0.37,0.5877875507,-0.22,49,-19,,
Glooga Dualies,69,89,0.33,0.4186400541,-0.09,65,-4,,
.96 Gal,70,89,0.33,0.3129228687,0.01,71,1,,
Classic Squiffer,71,85,0.31,0.5243572395,-0.21,55,-16,,
Squeezer,72,80,0.29,0.3467523681,-0.05,67,-5,,
L-3 Nozzlenose D,73,67,0.25,0.2537212449,-0.01,74,1,,
Aerospray RG,74,63,0.23,0.3425236806,-0.11,68,-6,,
Aerospray MG,75,61,0.22,0.4440121786,-0.22,61,-14,,
Undercover Brella,76,59,0.22,0.2029769959,0.01,78,2,,
Neo Sploosh-o-matic,77,45,0.17,0.1691474966,0.00,79,2,,
Custom Goo Tuber,78,44,0.16,0.224120433,-0.06,76,-2,,
Custom E-liter 4K Scope,79,38,0.14,0.1310893099,0.01,80,1,,
L-3 Nozzlenose,80,36,0.13,0.2114343708,-0.08,77,-3,,
Custom E-liter 4K,81,36,0.13,0.1057171854,0.03,81,0,,
Goo Tuber,82,26,0.10,0.09725981055,0.00,83,1,,
Luna Blaster Neo,83,26,0.10,0.101488498,-0.01,82,-1,,
H-3 Nozzlenose,84,24,0.09,0.06343031123,0.02,84,0,,
