All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
Inkbrush,27,310,1.05,0.83,0.22,31,4,,,Krak-On Splat Roller,79,1.11,47,20,,Slosher Deco,77,0.95,28,1,,Slosher Deco,94,1.06,28,1,,Rapid Blaster Pro,54,1.02,38,11,,,,,,,,,,Custom Blaster,191,1.09,31,4
Slosher Deco,28,289,0.98,0.24,0.74,56,28,,,.96 Gal,77,1.08,25,-3,,Dualie Squelchers,75,0.92,29,1,,E-liter 4K Scope,85,0.96,40,12,,.96 Gal,53,1,25,-3,,,,,,,,,,Dynamo Roller,158,0.9,32,4
Dualie Squelchers,29,267,0.91,0.84,0.07,29,0,,,Slosher Deco,77,1.08,28,-1,,Clash Blaster,71,0.87,30,1,,Mini Splatling,85,0.96,34,5,,Dapple Dualies,49,0.93,26,-3,,,,,,,,,,Mini Splatling,152,0.86,34,5
Clash Blaster,30,252,0.86,1.02,-0.16,25,-5,,,Dualie Squelchers,70,0.98,29,-1,,Dynamo Roller,65,0.8,32,2,,Carbon Roller,77,0.87,24,-6,,Dualie Squelchers,47,0.89,29,-1,,,,,,,,,,Heavy Splatling Deco,140,0.8,33,3
Custom Blaster,31,250,0.85,0.77,0.08,35,4,,,Splash-o-matic,61,0.86,37,6,,Custom Blaster,63,0.77,31,0,,Dapple Dualies,77,0.87,26,-5,,Classic Squiffer,45,0.85,48,17,,,,,,,,,,Dapple Dualies,130,0.74,26,-5
Dynamo Roller,32,233,0.79,0.91,-0.12,28,-4,,,Clash Blaster,60,0.84,30,-2,,Custom Jet Squelcher,59,0.73,36,4,,Dualie Squelchers,75,0.84,29,-3,,Custom Blaster,45,0.85,31,-1,,,,,,,,,,Firefin Splat Charger,122,0.69,41,9
Heavy Splatling Deco,33,232,0.79,0.72,0.07,37,4,,,Mini Splatling,57,0.8,34,1,,Splash-o-matic,59,0.73,37,4,,Heavy Splatling Deco,74,0.83,33,0,,Slosher,44,0.83,42,9,,,,,,,,,,Custom Jet Squelcher,121,0.69,36,3
Mini Splatling,34,231,0.78,0.96,-0.18,26,-8,,,L-3 Nozzlenose,57,0.8,43,9,,Mini Splatling,58,0.71,34,0,,Gold Dynamo Roller,74,0.83,35,1,,Slosher Deco,41,0.78,28,-6,,,,,,,,,,Rapid Blaster Pro,117,0.66,38,4
Gold Dynamo Roller,35,208,0.71,0.78,-0.07,34,-1,,,Gold Dynamo Roller,53,0.74,35,0,,Splat Dualies,57,0.7,39,4,,Dynamo Roller,71,0.8,32,-3,,Gold Dynamo Roller,38,0.72,35,0,,,,,,,,,,Inkbrush,115,0.65,27,-8
Custom Jet Squelcher,36,206,0.7,0.82,-0.12,32,-4,,,Custom Jet Squelcher,51,0.72,36,0,,Slosher,52,0.64,42,6,,Firefin Splatterscope,70,0.79,51,15,,E-liter 4K Scope,33,0.63,40,4,,,,,,,,,,Clash Blaster,114,0.65,30,-6
Splash-o-matic,37,195,0.66,0.7,-0.04,39,2,,,Heavy Splatling,48,0.67,23,-14,,Inkbrush,51,0.63,27,-10,,Aerospray MG,69,0.78,49,12,,Inkbrush,33,0.63,27,-10,,,,,,,,,,L-3 Nozzlenose,114,0.65,43,6
Rapid Blaster Pro,38,186,0.63,0.74,-0.11,36,-2,,,Custom Blaster,44,0.62,31,-7,,E-liter 4K Scope,45,0.55,40,2,,Custom Jet Squelcher,63,0.71,36,-2,,Custom Jet Squelcher,33,0.63,36,-2,,,,,,,,,,Dualie Squelchers,107,0.61,29,-9
Splat Dualies,39,178,0.6,0.79,-0.19,33,-6,,,Splat Dualies,43,0.6,39,0,,Gold Dynamo Roller,43,0.53,35,-4,,Rapid Blaster Pro,62,0.7,38,-1,,Jet Squelcher,32,0.61,45,6,,,,,,,,,,Gold Dynamo Roller,105,0.6,35,-4
E-liter 4K Scope,40,177,0.6,0.71,-0.11,38,-2,,,Jet Squelcher,42,0.59,45,5,,Bamboozler 14 Mk I,43,0.53,46,6,,Custom Splattershot Jr.,60,0.67,50,10,,Mini Splatling,31,0.59,34,-6,,,,,,,,,,Splash-o-matic,97,0.55,37,-3
Firefin Splat Charger,41,170,0.58,0.57,0.01,44,3,,,Squeezer,42,0.59,21,-20,,L-3 Nozzlenose,40,0.49,43,2,,Splash-o-matic,49,0.55,37,-4,,Splat Dualies,30,0.57,39,-2,,,,,,,,,,Bamboozler 14 Mk I,92,0.52,46,5
Slosher,42,166,0.56,0.84,-0.28,30,-12,,,Splatterscope,41,0.58,20,-22,,Hydra Splatling,39,0.48,53,11,,Bamboozler 14 Mk I,49,0.55,46,4,,Splash-o-matic,26,0.49,37,-5,,,,,,,,,,Tenta Brella,87,0.49,44,2
L-3 Nozzlenose,43,159,0.54,0.65,-0.11,40,-3,,,Rapid Blaster Pro,35,0.49,38,-5,,Classic Squiffer,37,0.45,48,5,,L-3 Nozzlenose,48,0.54,43,0,,Heavy Splatling Deco,26,0.49,33,-10,,,,,,,,,,E-liter 4K Scope,84,0.48,40,-3
Tenta Brella,44,154,0.52,0.6,-0.08,42,-2,,,Dynamo Roller,35,0.49,32,-12,,Rapid Blaster Pro,35,0.43,38,-6,,Splat Dualies,48,0.54,39,-5,,Custom Splattershot Jr.,23,0.44,50,6,,,,,,,,,,Firefin Splatterscope,77,0.44,51,7
Jet Squelcher,45,149,0.51,0.55,-0.04,46,1,,,Firefin Splat Charger,34,0.48,41,-4,,Jet Squelcher,35,0.43,45,0,,Inkbrush,44,0.49,27,-18,,E-liter 4K,22,0.42,55,10,,,,,,,,,,H-3 Nozzlenose,76,0.43,54,9
Bamboozler 14 Mk I,46,146,0.5,0.45,0.05,49,3,,,Bamboozler 14 Mk I,34,0.48,46,0,,Aerospray MG,32,0.39,49,3,,Jet Squelcher,40,0.45,45,-1,,Krak-On Splat Roller,21,0.4,47,1,,,,,,,,,,Aerospray MG,70,0.4,49,3
Krak-On Splat Roller,47,143,0.49,0.57,-0.08,43,-4,,,Classic Squiffer,34,0.48,48,1,,E-liter 4K,32,0.39,55,8,,Slosher,38,0.43,42,-5,,Bamboozler 14 Mk I,20,0.38,46,-1,,,,,,,,,,Splat Dualies,68,0.39,39,-8
Classic Squiffer,48,138,0.47,0.61,-0.14,41,-7,,,Slosher,32,0.45,42,-6,,H-3 Nozzlenose,27,0.33,54,6,,E-liter 4K,37,0.42,55,7,,H-3 Nozzlenose,19,0.36,54,6,,,,,,,,,,Slosher,67,0.38,42,-6
Aerospray MG,49,136,0.46,0.41,0.05,50,1,,,Custom Splattershot Jr.,23,0.32,50,1,,Firefin Splat Charger,26,0.32,41,-8,,H-3 Nozzlenose,35,0.39,54,5,,Goo Tuber,18,0.34,58,9,,,,,,,,,,Hydra Splatling,61,0.35,53,4
Custom Splattershot Jr.,50,129,0.44,0.56,-0.12,45,-5,,,Aerospray MG,22,0.31,49,-1,,Heavy Splatling Deco,26,0.32,33,-17,,Clash Blaster,32,0.36,30,-20,,Tenta Brella,18,0.34,44,-6,,,,,,,,,,Krak-On Splat Roller,52,0.3,47,-3
Firefin Splatterscope,51,119,0.4,0.48,-0.08,48,-3,,,H-3 Nozzlenose,21,0.29,54,3,,Glooga Dualies,24,0.3,57,6,,Hydra Splatling,31,0.35,53,2,,Hydra Splatling,17,0.32,53,2,,,,,,,,,,Custom Splattershot Jr.,48,0.27,50,-1
Inkbrush Nouveau,52,113,0.38,0.32,0.06,53,1,,,Hydra Splatling,18,0.25,53,1,,Tenta Brella,23,0.28,44,-8,,Tenta Brella,29,0.33,44,-8,,Firefin Splat Charger,15,0.28,41,-11,,,,,,,,,,Inkbrush Nouveau,46,0.26,52,0
Hydra Splatling,53,105,0.36,0.51,-0.15,47,-6,,,Firefin Splatterscope,18,0.25,51,-2,,Custom Splattershot Jr.,23,0.28,50,-3,,Aerospray RG,28,0.31,56,3,,L-3 Nozzlenose,14,0.27,43,-10,,,,,,,,,,Classic Squiffer,45,0.26,48,-5
H-3 Nozzlenose,54,102,0.35,0.38,-0.03,52,-2,,,Custom E-liter 4K Scope,17,0.24,59,5,,Krak-On Splat Roller,21,0.26,47,-7,,Classic Squiffer,22,0.25,48,-6,,Aerospray MG,13,0.25,49,-5,,,,,,,,,,E-liter 4K,41,0.23,55,1
E-liter 4K,55,99,0.34,0.4,-0.06,51,-4,,,Aerospray RG,16,0.22,56,1,,Firefin Splatterscope,19,0.23,51,-4,,Krak-On Splat Roller,22,0.25,47,-8,,Firefin Splatterscope,12,0.23,51,-4,,,,,,,,,,Jet Squelcher,38,0.22,45,-10
Aerospray RG,56,74,0.25,0.31,-0.06,54,-2,,,E-liter 4K Scope,14,0.2,40,-16,,Aerospray RG,18,0.22,56,0,,Inkbrush Nouveau,15,0.17,52,-4,,Aerospray RG,12,0.23,56,0,,,,,,,,,,Aerospray RG,29,0.16,56,0
Glooga Dualies,57,51,0.17,0.28,-0.11,55,-2,,,Custom E-liter 4K,11,0.15,62,5,,Custom E-liter 4K Scope,14,0.17,59,2,,Goo Tuber,15,0.17,58,1,,Glooga Dualies,11,0.21,57,0,,,,,,,,,,Goo Tuber,27,0.15,58,1
Goo Tuber,58,48,0.16,0.19,-0.03,57,-1,,,Foil Flingza Roller,11,0.15,60,2,,Foil Flingza Roller,11,0.14,60,2,,Custom E-liter 4K Scope,11,0.12,59,1,,Foil Flingza Roller,10,0.19,60,2,,,,,,,,,,Glooga Dualies,23,0.13,57,-1
Custom E-liter 4K Scope,59,47,0.16,0.14,0.02,59,0,,,E-liter 4K,8,0.11,55,-4,,Inkbrush Nouveau,11,0.14,52,-7,,Custom E-liter 4K,11,0.12,62,3,,Flingza Roller,7,0.13,61,2,,,,,,,,,,Custom E-liter 4K,18,0.1,62,3
Foil Flingza Roller,60,42,0.14,0.19,-0.05,58,-2,,,Flingza Roller,8,0.11,61,1,,Goo Tuber,9,0.11,58,-2,,Foil Flingza Roller,10,0.11,60,0,,Inkbrush Nouveau,6,0.11,52,-8,,,,,,,,,,Custom E-liter 4K Scope,17,0.1,59,-1
Flingza Roller,61,30,0.1,0.11,-0.01,60,-1,,,Glooga Dualies,6,0.08,57,-4,,Flingza Roller,6,0.07,61,0,,Glooga Dualies,10,0.11,57,-4,,Custom E-liter 4K Scope,5,0.09,59,-2,,,,,,,,,,Foil Flingza Roller,14,0.08,60,-1
Custom E-liter 4K,62,29,0.1,0.08,0.02,61,-1,,,Goo Tuber,6,0.08,58,-4,,Custom E-liter 4K,4,0.05,62,0,,Flingza Roller,9,0.1,61,-1,,Custom E-liter 4K,3,0.06,62,0,,,,,,,,,,Flingza Roller,12,0.07,61,-1
