,,,,,Totals do not add up: Missing some league schedule data so cannot identify game mode for 11/19 18:00 - 11/20 14:00 (UTC),,,,,,,,,,,,,,,,,,
Inkbrush,35,223,0.77,,Custom Splattershot Jr.,60,0.73,,L-3 Nozzlenose,63,0.74,,Foil Flingza Roller,61,0.72,,,,,,,,
Blaster,36,206,0.71,,L-3 Nozzlenose,58,0.71,,Inkbrush,61,0.71,,Splat Dualies,57,0.67,,,,,,,,
Bamboozler 14 Mk I,37,184,0.63,,Rapid Blaster Pro,51,0.62,,Clash Blaster,56,0.65,,Bamboozler 14 Mk I,54,0.64,,,,,,,,
Heavy Splatling Deco,38,182,0.63,,Tenta Brella,50,0.61,,Firefin Splatterscope,52,0.61,,Classic Squiffer,50,0.59,,,,,,,,
L-3 Nozzlenose,39,174,0.6,,Gold Dynamo Roller,48,0.58,,Blaster,52,0.61,,Inkbrush,48,0.57,,,,,,,,
Foil Flingza Roller,40,162,0.56,,Heavy Splatling Deco,44,0.54,,E-liter 4K,49,0.57,,Heavy Splatling Deco,43,0.51,,,,,,,,
Classic Squiffer,41,158,0.55,,Splash-o-matic,43,0.52,,Bamboozler 14 Mk I,48,0.56,,L-3 Nozzlenose,41,0.48,,,,,,,,
E-liter 4K,42,143,0.49,,E-liter 4K,41,0.5,,Jet Squelcher,46,0.54,,Splash-o-matic,39,0.46,,,,,,,,
Tenta Brella,43,141,0.49,,Jet Squelcher,40,0.49,,Foil Flingza Roller,44,0.51,,E-liter 4K,37,0.44,,,,,,,,
Splash-o-matic,44,140,0.48,,H-3 Nozzlenose,36,0.44,,Firefin Splat Charger,44,0.51,,Tenta Brella,37,0.44,,,,,,,,
Jet Squelcher,45,129,0.45,,Foil Flingza Roller,35,0.43,,Aerospray RG,42,0.49,,H-3 Nozzlenose,30,0.35,,,,,,,,
Krak-On Splat Roller,46,114,0.39,,Classic Squiffer,34,0.41,,Splash-o-matic,38,0.44,,Krak-On Splat Roller,28,0.33,,,,,,,,
Firefin Splatterscope,47,113,0.39,,Krak-On Splat Roller,30,0.37,,Classic Squiffer,34,0.4,,Jet Squelcher,23,0.27,,,,,,,,
H-3 Nozzlenose,48,102,0.35,,Aerospray MG,29,0.35,,Krak-On Splat Roller,34,0.4,,Firefin Splatterscope,21,0.25,,,,,,,,
Firefin Splat Charger,49,91,0.31,,Firefin Splatterscope,25,0.3,,Aerospray MG,32,0.37,,Inkbrush Nouveau,18,0.21,,,,,,,,
Aerospray MG,50,90,0.31,,Firefin Splat Charger,20,0.24,,Tenta Brella,32,0.37,,Custom Blaster,16,0.19,,,,,,,,
Aerospray RG,51,89,0.31,,Aerospray RG,20,0.24,,H-3 Nozzlenose,31,0.36,,Firefin Splat Charger,15,0.18,,,,,,,,
Inkbrush Nouveau,52,68,0.23,,Inkbrush Nouveau,18,0.22,,Flingza Roller,21,0.25,,Aerospray RG,13,0.15,,,,,,,,
Custom Blaster,53,49,0.17,,Custom Blaster,17,0.21,,Inkbrush Nouveau,18,0.21,,Goo Tuber,12,0.14,,,,,,,,
Flingza Roller,54,48,0.17,,Goo Tuber,14,0.17,,Custom Blaster,14,0.16,,Aerospray MG,10,0.12,,,,,,,,
Goo Tuber,55,46,0.16,,Custom E-liter 4K Scope,13,0.16,,Goo Tuber,14,0.16,,Flingza Roller,9,0.11,,,,,,,,
Custom E-liter 4K Scope,56,41,0.14,,Flingza Roller,12,0.15,,Custom E-liter 4K Scope,11,0.13,,Custom E-liter 4K Scope,9,0.11,,,,,,,,
Custom E-liter 4K,57,18,0.06,,Custom E-liter 4K,7,0.09,,Custom E-liter 4K,5,0.06,,Custom E-liter 4K,4,0.05,,,,,,,,
