All Modes,,,,,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
Splattershot Pro,11,704,2.44,2.83,-0.39,10,-1,,,Splattershot Pro,210,2.18,11,0,,Forge Splattershot Pro,255,2.61,12,1,,Forge Splattershot Pro,219,2.33,12,1,,Curling-Bomb Launcher,77,0.27,,Splash Wall,364,1.26,,Luna Blaster,379,2.07,13,2
Forge Splattershot Pro,12,680,2.36,2.35,0.01,11,-1,,,Forge Splattershot Pro,206,2.14,12,0,,Splattershot Jr.,207,2.11,14,2,,Splatterscope,201,2.14,15,3,,,,,,,,,,Splattershot Pro,378,2.06,11,-1
Luna Blaster,13,566,1.97,2.17,-0.2,13,0,,,Luna Blaster,183,1.9,13,0,,Rapid Blaster,206,2.1,16,3,,Splattershot Pro,196,2.09,11,-2,,,,,,,,,,Heavy Splatling,365,1.99,18,5
Splattershot Jr.,14,540,1.88,1.89,-0.01,15,1,,,Enperry Splat Dualies,179,1.86,19,5,,Sploosh-o-matic,193,1.97,10,-4,,Heavy Splatling,168,1.79,18,4,,,,,,,,,,Rapid Blaster,362,1.98,16,2
Splatterscope,15,539,1.87,1.84,0.03,18,3,,,Splatterscope,172,1.79,15,0,,Octobrush,172,1.76,17,2,,Octobrush,167,1.78,17,2,,,,,,,,,,Sploosh-o-matic,354,1.93,10,-5
Rapid Blaster,16,507,1.76,1.85,-0.09,17,1,,,Splattershot Jr.,171,1.78,14,-2,,Splatterscope,166,1.7,15,-1,,Splattershot Jr.,162,1.72,14,-2,,,,,,,,,,Splatterscope,340,1.86,15,-1
Octobrush,17,496,1.72,1.79,-0.07,19,2,,,Heavy Splatling,165,1.72,18,1,,Luna Blaster,154,1.57,13,-4,,Clash Blaster,161,1.71,23,6,,,,,,,,,,Splattershot Jr.,327,1.78,14,-3
Heavy Splatling,18,484,1.68,1.64,0.04,20,2,,,Octobrush,157,1.63,17,-1,,Heavy Splatling,151,1.54,18,0,,Rapid Blaster,159,1.69,16,-2,,,,,,,,,,Enperry Splat Dualies,303,1.65,19,1
Enperry Splat Dualies,19,443,1.54,1.98,-0.44,14,-5,,,.52 Gal,147,1.53,20,1,,Enperry Splat Dualies,143,1.46,19,0,,Sploosh-o-matic,155,1.65,10,-9,,,,,,,,,,Glooga Dualies,258,1.41,21,2
.52 Gal,20,367,1.27,1.53,-0.26,21,1,,,Rapid Blaster,142,1.48,16,-4,,Custom Splattershot Jr.,138,1.41,30,10,,Blaster,129,1.37,27,7,,,,,,,,,,.96 Gal,231,1.26,22,2
Glooga Dualies,21,352,1.22,,,,,,,Glooga Dualies,140,1.46,21,0,,.96 Gal,128,1.31,22,1,,Enperry Splat Dualies,121,1.29,19,-2,,,,,,,,,,Dynamo Roller,222,1.21,24,3
.96 Gal,22,338,1.17,1.03,0.14,27,5,,,Dapple Dualies,123,1.28,26,4,,Glooga Dualies,122,1.25,21,-1,,.52 Gal,119,1.27,20,-2,,,,,,,,,,Octobrush,216,1.18,17,-5
Clash Blaster,23,318,1.1,1.14,-0.04,23,0,,,Clash Blaster,102,1.06,23,0,,Rapid Blaster Pro,118,1.21,28,5,,.96 Gal,112,1.19,22,-1,,,,,,,,,,.52 Gal,183,1,20,-3
Dynamo Roller,24,293,1.02,1.2,-0.18,22,-2,,,.96 Gal,98,1.02,22,-2,,Dynamo Roller,107,1.09,24,0,,Dynamo Roller,110,1.17,24,0,,,,,,,,,,Blaster,181,0.99,27,3
Carbon Roller,25,280,0.97,1.06,-0.09,25,0,,,Carbon Roller,89,0.93,25,0,,.52 Gal,101,1.03,20,-5,,Carbon Roller,107,1.14,25,0,,,,,,,,,,Rapid Blaster Pro,171,0.93,28,3
Dapple Dualies,26,275,0.95,1.12,-0.17,24,-2,,,Dualie Squelchers,85,0.88,32,6,,E-liter 4K Scope,99,1.01,36,10,,Rapid Blaster Pro,92,0.98,28,2,,,,,,,,,,Clash Blaster,165,0.9,23,-3
Blaster,27,266,0.92,0.75,0.17,37,10,,,Slosher,85,0.88,29,2,,Mini Splatling,96,0.98,31,4,,Glooga Dualies,90,0.96,21,-6,,,,,,,,,,Mini Splatling,162,0.88,31,4
Rapid Blaster Pro,28,259,0.9,0.97,-0.07,29,1,,,Custom Jet Squelcher,84,0.87,33,5,,Gold Dynamo Roller,94,0.96,34,6,,Slosher,83,0.88,29,1,,,,,,,,,,Slosher,154,0.84,29,1
Slosher,29,247,0.86,0.89,-0.03,32,3,,,Splash-o-matic,78,0.81,35,6,,Dualie Squelchers,89,0.91,32,3,,Custom Jet Squelcher,79,0.84,33,4,,,,,,,,,,Gold Dynamo Roller,141,0.77,34,5
Custom Splattershot Jr.,30,241,0.84,0.88,-0.04,33,3,,,Mini Splatling,76,0.79,31,1,,Carbon Roller,84,0.86,25,-5,,Hydra Splatling,79,0.84,37,7,,,,,,,,,,Custom Jet Squelcher,137,0.75,33,3
Mini Splatling,31,241,0.84,0.98,-0.14,28,-3,,,Dynamo Roller,76,0.79,24,-7,,Hydra Splatling,83,0.85,37,6,,Gold Dynamo Roller,70,0.74,34,3,,,,,,,,,,Splash-o-matic,132,0.72,35,4
Dualie Squelchers,32,241,0.84,0.92,-0.08,30,-2,,,Blaster,75,0.78,27,-5,,Dapple Dualies,83,0.85,26,-6,,Mini Splatling,69,0.73,31,-1,,,,,,,,,,Carbon Roller,132,0.72,25,-7
Custom Jet Squelcher,33,230,0.8,1.05,-0.25,26,-7,,,Tenta Brella,67,0.7,41,8,,Jet Squelcher,80,0.82,38,5,,Dapple Dualies,69,0.73,26,-7,,,,,,,,,,Dapple Dualies,131,0.71,26,-7
Gold Dynamo Roller,34,226,0.78,0.85,-0.07,34,0,,,Gold Dynamo Roller,62,0.65,34,0,,Slosher,79,0.81,29,-5,,Dualie Squelchers,67,0.71,32,-2,,,,,,,,,,Hydra Splatling,127,0.69,37,3
Splash-o-matic,35,223,0.77,0.9,-0.13,31,-4,,,Inkbrush,59,0.61,39,4,,Splash-o-matic,78,0.8,35,0,,Splash-o-matic,67,0.71,35,0,,,,,,,,,,Dualie Squelchers,118,0.64,32,-3
E-liter 4K Scope,36,213,0.74,0.81,-0.07,35,-1,,,H-3 Nozzlenose,59,0.61,43,7,,Inkbrush,72,0.74,39,3,,Jet Squelcher,67,0.71,38,2,,,,,,,,,,E-liter 4K Scope,109,0.59,36,0
Hydra Splatling,37,212,0.74,1.88,-1.14,16,-21,,,E-liter 4K Scope,56,0.58,36,-1,,Splat Dualies,70,0.72,40,3,,Classic Squiffer,66,0.7,42,5,,,,,,,,,,H-3 Nozzlenose,108,0.59,43,6
Jet Squelcher,38,197,0.68,0.74,-0.06,38,0,,,Bamboozler 14 Mk I,51,0.53,45,7,,Custom Jet Squelcher,67,0.68,33,-5,,Custom Splattershot Jr.,64,0.68,30,-8,,,,,,,,,,Tenta Brella,107,0.58,41,3
Inkbrush,39,184,0.64,0.64,0,39,0,,,E-liter 4K,50,0.52,47,8,,Blaster,62,0.63,27,-12,,Splat Dualies,61,0.65,40,1,,,,,,,,,,L-3 Nozzlenose,98,0.53,44,5
Splat Dualies,40,178,0.62,0.79,-0.17,36,-4,,,Hydra Splatling,50,0.52,37,-3,,Firefin Splatterscope,62,0.63,49,9,,E-liter 4K Scope,58,0.62,36,-4,,,,,,,,,,Custom Splattershot Jr.,93,0.51,30,-10
Tenta Brella,41,169,0.59,0.45,0.14,44,3,,,Jet Squelcher,50,0.52,38,-3,,Heavy Splatling Deco,61,0.62,48,7,,Inkbrush,53,0.56,39,-2,,,,,,,,,,Inkbrush,91,0.5,39,-2
Classic Squiffer,42,154,0.53,0.48,0.05,41,-1,,,L-3 Nozzlenose,49,0.51,44,2,,L-3 Nozzlenose,58,0.59,44,2,,Tenta Brella,50,0.53,41,-1,,,,,,,,,,Classic Squiffer,87,0.47,42,0
H-3 Nozzlenose,43,142,0.49,0.48,0.01,40,-3,,,Rapid Blaster Pro,49,0.51,28,-15,,Firefin Splat Charger,57,0.58,50,7,,Krak-On Splat Roller,43,0.46,46,3,,,,,,,,,,Bamboozler 14 Mk I,82,0.45,45,2
L-3 Nozzlenose,44,140,0.49,0.46,0.03,42,-2,,,Classic Squiffer,47,0.49,42,-2,,Clash Blaster,55,0.56,23,-21,,H-3 Nozzlenose,41,0.44,43,-1,,,,,,,,,,Splat Dualies,75,0.41,40,-4
Bamboozler 14 Mk I,45,136,0.47,0.45,0.02,43,-2,,,Splat Dualies,47,0.49,40,-5,,Bamboozler 14 Mk I,54,0.55,45,0,,L-3 Nozzlenose,33,0.35,44,-1,,,,,,,,,,Heavy Splatling Deco,65,0.35,48,3
Krak-On Splat Roller,46,129,0.45,0.37,0.08,48,2,,,Krak-On Splat Roller,44,0.46,46,0,,Tenta Brella,52,0.53,41,-5,,Bamboozler 14 Mk I,31,0.33,45,-1,,,,,,,,,,Jet Squelcher,65,0.35,38,-8
E-liter 4K,47,123,0.43,0.37,0.06,47,0,,,Custom Splattershot Jr.,39,0.41,30,-17,,Aerospray RG,49,0.5,51,4,,Custom Blaster,30,0.32,52,5,,,,,,,,,,Custom Blaster,62,0.34,52,5
Heavy Splatling Deco,48,117,0.41,0.39,0.02,46,-2,,,Heavy Splatling Deco,27,0.28,48,0,,Aerospray MG,46,0.47,53,5,,Heavy Splatling Deco,29,0.31,48,0,,,,,,,,,,Firefin Splat Charger,58,0.32,50,2
Firefin Splatterscope,49,116,0.4,0.4,0,45,-4,,,Firefin Splatterscope,27,0.28,49,0,,E-liter 4K,45,0.46,47,-2,,E-liter 4K,28,0.3,47,-2,,,,,,,,,,Krak-On Splat Roller,55,0.3,46,-3
Firefin Splat Charger,50,102,0.35,0.34,0.01,51,1,,,Custom Blaster,27,0.28,52,2,,Krak-On Splat Roller,42,0.43,46,-4,,Firefin Splatterscope,27,0.29,49,-1,,,,,,,,,,Firefin Splatterscope,54,0.29,49,-1
Aerospray RG,51,90,0.31,0.33,-0.02,52,1,,,Firefin Splat Charger,26,0.27,50,-1,,H-3 Nozzlenose,42,0.43,43,-8,,Aerospray RG,21,0.22,51,0,,,,,,,,,,E-liter 4K,47,0.26,47,-4
Custom Blaster,52,81,0.28,0.35,-0.07,50,-2,,,Foil Flingza Roller,24,0.25,54,2,,Classic Squiffer,41,0.42,42,-10,,Firefin Splat Charger,19,0.2,50,-2,,,,,,,,,,Aerospray RG,40,0.22,51,-1
Aerospray MG,53,77,0.27,0.36,-0.09,49,-4,,,Goo Tuber,23,0.24,55,2,,Custom Blaster,24,0.25,52,-1,,Foil Flingza Roller,18,0.19,54,1,,,,,,,,,,Foil Flingza Roller,30,0.16,54,1
Foil Flingza Roller,54,57,0.2,0.25,-0.05,53,-1,,,Aerospray MG,22,0.23,53,-1,,Inkbrush Nouveau,19,0.19,56,2,,Inkbrush Nouveau,16,0.17,56,2,,,,,,,,,,Aerospray MG,30,0.16,53,-1
Goo Tuber,55,50,0.17,0.15,0.02,55,0,,,Aerospray RG,20,0.21,51,-4,,Foil Flingza Roller,15,0.15,54,-1,,Goo Tuber,15,0.16,55,0,,,,,,,,,,Inkbrush Nouveau,25,0.14,56,1
Inkbrush Nouveau,56,47,0.16,0.2,-0.04,54,-2,,,Flingza Roller,13,0.14,58,2,,Custom E-liter 4K Scope,13,0.13,57,1,,Custom E-liter 4K Scope,13,0.14,57,1,,,,,,,,,,Goo Tuber,21,0.11,55,-1
Custom E-liter 4K Scope,57,32,0.11,0.09,0.02,57,0,,,Inkbrush Nouveau,12,0.12,56,-1,,Goo Tuber,12,0.12,55,-2,,Custom E-liter 4K,10,0.11,59,2,,,,,,,,,,Custom E-liter 4K Scope,16,0.09,57,0
Flingza Roller,58,29,0.1,0.13,-0.03,56,-2,,,Custom E-liter 4K Scope,6,0.06,57,-1,,Custom E-liter 4K,9,0.09,59,1,,Aerospray MG,9,0.1,53,-5,,,,,,,,,,Flingza Roller,13,0.07,58,0
Custom E-liter 4K,59,21,0.07,0.09,-0.02,58,-1,,,Custom E-liter 4K,2,0.02,59,0,,Flingza Roller,8,0.08,58,-1,,Flingza Roller,8,0.09,58,-1,,,,,,,,,,Custom E-liter 4K,5,0.03,59,0
