All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
Splattershot Jr.,14,538,1.79,1.96,-0.17,13,-1,,,Splat Charger,150,1.86,8,-6,,Enperry Splat Dualies,114,1.71,16,2,,Splattershot Jr.,152,1.69,14,0,,Luna Blaster,124,1.95,15,1,,,,,,,,,,L-3 Nozzlenose D,282,1.6,20,6
Luna Blaster,15,448,1.49,1.53,-0.04,18,3,,,Inkbrush,143,1.78,29,14,,N-ZAP '89,114,1.71,13,-2,,N-ZAP '89,143,1.59,13,-2,,Splattershot Jr.,120,1.88,14,-1,,,,,,,,,,Enperry Splat Dualies,256,1.46,16,1
Enperry Splat Dualies,16,434,1.44,1.4,0.04,19,3,,,Range Blaster,132,1.64,12,-4,,Splattershot Jr.,107,1.61,14,-2,,Splat Brella,129,1.43,22,6,,N-ZAP '89,106,1.66,13,-3,,,,,,,,,,Luna Blaster,245,1.39,15,-1
Octobrush,17,433,1.44,1.61,-0.17,17,0,,,Octobrush,129,1.6,17,0,,Octobrush,96,1.44,17,0,,Enperry Splat Dualies,128,1.42,16,-1,,Heavy Splatling,98,1.54,23,6,,,,,,,,,,Splatterscope,238,1.35,18,1
Splatterscope,18,429,1.43,1.65,-0.22,16,-2,,,.52 Gal,127,1.58,19,1,,Heavy Splatling,85,1.28,23,5,,Heavy Splatling Deco,127,1.41,24,6,,Enperry Splat Dualies,91,1.43,16,-2,,,,,,,,,,Heavy Splatling,224,1.27,23,5
.52 Gal,19,374,1.24,1.24,0,20,1,,,Luna Blaster,123,1.53,15,-4,,Luna Blaster,84,1.26,15,-4,,Octobrush,124,1.38,17,-2,,Octobrush,84,1.32,17,-2,,,,,,,,,,Splat Brella,221,1.26,22,3
L-3 Nozzlenose D,20,371,1.23,,,,,,,Heavy Splatling Deco,119,1.48,24,4,,L-3 Nozzlenose D,80,1.2,20,0,,L-3 Nozzlenose D,119,1.32,20,0,,Clash Blaster,83,1.3,33,13,,,,,,,,,,Heavy Splatling Deco,203,1.15,24,4
Octobrush Nouveau,21,363,1.21,0.89,0.32,28,7,,,Dapple Dualies,108,1.34,26,5,,.52 Gal,79,1.19,19,-2,,Splatterscope,118,1.31,18,-3,,.52 Gal,73,1.15,19,-2,,,,,,,,,,N-ZAP '89,187,1.06,13,-8
Splat Brella,22,354,1.18,1.78,-0.6,14,-8,,,L-3 Nozzlenose D,103,1.28,20,-2,,Splattershot Pro,79,1.19,25,3,,Luna Blaster,117,1.3,15,-7,,Splattershot Pro,70,1.1,25,3,,,,,,,,,,.52 Gal,180,1.02,19,-3
Heavy Splatling,23,326,1.08,1.2,-0.12,21,-2,,,Enperry Splat Dualies,101,1.26,16,-7,,Splat Brella,79,1.19,22,-1,,Mini Splatling,109,1.21,30,7,,Custom Jet Squelcher,70,1.1,35,12,,,,,,,,,,Mini Splatling,170,0.97,30,7
Heavy Splatling Deco,24,316,1.05,0.8,0.25,33,9,,,Gold Dynamo Roller,86,1.07,28,4,,Custom Jet Squelcher,68,1.02,35,11,,Heavy Splatling,100,1.11,23,-1,,L-3 Nozzlenose D,69,1.08,20,-4,,,,,,,,,,Firefin Splat Charger,165,0.94,32,8
Splattershot Pro,25,307,1.02,1.13,-0.11,23,-2,,,Splat Brella,83,1.03,22,-3,,Carbon Roller,66,0.99,27,2,,Splattershot Pro,97,1.08,25,0,,Carbon Roller,68,1.07,27,2,,,,,,,,,,Custom Blaster,158,0.9,36,11
Dapple Dualies,26,290,0.96,0.95,0.01,27,1,,,Dualie Squelchers,82,1.02,31,5,,Squeezer,64,0.96,34,8,,.52 Gal,95,1.06,19,-7,,Splat Brella,63,0.99,22,-4,,,,,,,,,,Octobrush,156,0.89,17,-9
Carbon Roller,27,279,0.93,1.02,-0.09,26,-1,,,Carbon Roller,69,0.86,27,0,,Dapple Dualies,60,0.9,26,-1,,Octobrush Nouveau,89,0.99,21,-6,,Classic Squiffer,63,0.99,39,12,,,,,,,,,,Octobrush Nouveau,151,0.86,21,-6
Gold Dynamo Roller,28,270,0.9,0.75,0.15,35,7,,,Splat Dualies,67,0.83,37,9,,Octobrush Nouveau,59,0.89,21,-7,,Gold Dynamo Roller,86,0.96,28,0,,Octobrush Nouveau,63,0.99,21,-7,,,,,,,,,,Squeezer,142,0.81,34,6
Inkbrush,29,269,0.89,1.18,-0.29,22,-7,,,Splatterscope,63,0.78,18,-11,,Clash Blaster,56,0.84,33,4,,Aerospray MG,80,0.89,45,16,,Gold Dynamo Roller,57,0.89,28,-1,,,,,,,,,,Gold Dynamo Roller,141,0.8,28,-1
Mini Splatling,30,258,0.86,0.82,0.04,31,1,,,Splattershot Pro,61,0.76,25,-5,,Custom Blaster,56,0.84,36,6,,Carbon Roller,76,0.84,27,-3,,Squeezer,55,0.86,34,4,,,,,,,,,,Custom Jet Squelcher,130,0.74,35,5
Dualie Squelchers,31,252,0.84,0.87,-0.03,29,-2,,,Mini Splatling,61,0.76,30,-1,,Classic Squiffer,48,0.72,39,8,,Firefin Splatterscope,75,0.83,52,21,,Dynamo Roller,54,0.85,41,10,,,,,,,,,,Dapple Dualies,129,0.73,26,-5
Firefin Splat Charger,32,240,0.8,0.59,0.21,39,7,,,Inkbrush Nouveau,60,0.75,55,23,,Mini Splatling,47,0.71,30,-2,,Dualie Squelchers,74,0.82,31,-1,,Jet Squelcher,53,0.83,44,12,,,,,,,,,,Splattershot Pro,126,0.72,25,-7
Clash Blaster,33,235,0.78,0.8,-0.02,32,-1,,,Clash Blaster,59,0.73,33,0,,Splash-o-matic,47,0.71,42,9,,Dapple Dualies,71,0.79,26,-7,,Dualie Squelchers,52,0.82,31,-2,,,,,,,,,,.96 Gal,124,0.7,38,5
Squeezer,34,225,0.75,1.11,-0.36,24,-10,,,Krak-On Splat Roller,56,0.7,51,17,,Dualie Squelchers,44,0.66,31,-3,,Rapid Blaster Pro,70,0.78,40,6,,Rapid Blaster Pro,52,0.82,40,6,,,,,,,,,,Rapid Blaster Pro,124,0.7,40,6
Custom Jet Squelcher,35,214,0.71,0.65,0.06,37,2,,,Custom Blaster,56,0.7,36,1,,.96 Gal,41,0.62,38,3,,.96 Gal,67,0.74,38,3,,Dapple Dualies,51,0.8,26,-9,,,,,,,,,,Dynamo Roller,119,0.68,41,6
Custom Blaster,36,213,0.71,0.68,0.03,36,0,,,Splash-o-matic,51,0.63,42,6,,Gold Dynamo Roller,41,0.62,28,-8,,Slosher Deco,64,0.71,43,7,,.96 Gal,50,0.78,38,2,,,,,,,,,,Carbon Roller,116,0.66,27,-9
Splat Dualies,37,211,0.7,0.84,-0.14,30,-7,,,.96 Gal,48,0.6,38,1,,Splat Dualies,41,0.62,37,0,,Custom Blaster,63,0.7,36,-1,,E-liter 4K Scope,45,0.71,48,11,,,,,,,,,,Inkbrush,114,0.65,29,-8
.96 Gal,38,206,0.69,0.76,-0.07,34,-4,,,Squeezer,47,0.58,34,-4,,Inkbrush,40,0.6,29,-9,,Splat Dualies,62,0.69,37,-1,,Splat Dualies,41,0.64,37,-1,,,,,,,,,,Slosher Deco,113,0.64,43,5
Classic Squiffer,39,197,0.66,0.55,0.11,43,4,,,Tenta Brella,45,0.56,53,14,,Bamboozler 14 Mk I,39,0.59,47,8,,Dynamo Roller,61,0.68,41,2,,Mini Splatling,41,0.64,30,-9,,,,,,,,,,Dualie Squelchers,105,0.6,31,-8
Rapid Blaster Pro,40,196,0.65,0.58,0.07,41,1,,,Slosher Deco,45,0.56,43,3,,Heavy Splatling Deco,39,0.59,24,-16,,Custom Splattershot Jr.,61,0.68,49,9,,Slosher,38,0.6,46,6,,,,,,,,,,Splash-o-matic,95,0.54,42,2
Dynamo Roller,41,189,0.63,0.6,0.03,38,-3,,,Heavy Splatling,43,0.53,23,-18,,E-liter 4K Scope,34,0.51,48,7,,Squeezer,59,0.66,34,-7,,Custom Blaster,38,0.6,36,-5,,,,,,,,,,Classic Squiffer,94,0.53,39,-2
Splash-o-matic,42,183,0.61,0.58,0.03,40,-2,,,Rapid Blaster Pro,43,0.53,40,-2,,Jet Squelcher,32,0.48,44,2,,Inkbrush,54,0.6,29,-13,,Splash-o-matic,36,0.56,42,0,,,,,,,,,,Bamboozler 14 Mk I,80,0.45,47,5
Slosher Deco,43,170,0.57,0.47,0.1,49,6,,,Firefin Splat Charger,43,0.53,32,-11,,Dynamo Roller,32,0.48,41,-2,,Classic Squiffer,50,0.56,39,-4,,Inkbrush,32,0.5,29,-14,,,,,,,,,,L-3 Nozzlenose,78,0.44,54,11
Jet Squelcher,44,165,0.55,0.51,0.04,46,2,,,Dynamo Roller,42,0.52,41,-3,,Aerospray MG,32,0.48,45,1,,Splash-o-matic,49,0.54,42,-2,,Undercover Brella,31,0.49,50,6,,,,,,,,,,Slosher,77,0.44,46,2
Aerospray MG,45,156,0.52,0.43,0.09,52,7,,,Bamboozler 14 Mk I,42,0.52,47,2,,Rapid Blaster Pro,31,0.47,40,-5,,E-liter 4K Scope,45,0.5,48,3,,Slosher Deco,31,0.49,43,-2,,,,,,,,,,Clash Blaster,76,0.43,33,-12
Slosher,46,148,0.49,0.53,-0.04,45,-1,,,Undercover Brella,40,0.5,50,4,,Slosher Deco,30,0.45,43,-3,,Slosher,42,0.47,46,0,,Heavy Splatling Deco,31,0.49,24,-22,,,,,,,,,,Firefin Splatterscope,71,0.4,52,6
Bamboozler 14 Mk I,47,144,0.48,0.49,-0.01,48,1,,,Jet Squelcher,39,0.48,44,-3,,Slosher,30,0.45,46,-1,,Custom Jet Squelcher,41,0.46,35,-12,,Krak-On Splat Roller,28,0.44,51,4,,,,,,,,,,Aerospray MG,67,0.38,45,-2
E-liter 4K Scope,48,144,0.48,0.56,-0.08,42,-6,,,Slosher,38,0.47,46,-2,,L-3 Nozzlenose,25,0.38,54,6,,Jet Squelcher,41,0.46,44,-4,,Tenta Brella,27,0.42,53,5,,,,,,,,,,Splat Dualies,66,0.38,37,-11
Custom Splattershot Jr.,49,138,0.46,0.49,-0.03,47,-2,,,L-3 Nozzlenose,37,0.46,54,5,,Krak-On Splat Roller,24,0.36,51,2,,Undercover Brella,40,0.44,50,1,,Bamboozler 14 Mk I,26,0.41,47,-2,,,,,,,,,,Tenta Brella,62,0.35,53,4
Undercover Brella,50,133,0.44,1.09,-0.65,25,-25,,,Classic Squiffer,36,0.45,39,-11,,Foil Flingza Roller,22,0.33,60,10,,Clash Blaster,37,0.41,33,-17,,Custom Splattershot Jr.,24,0.38,49,-1,,,,,,,,,,E-liter 4K Scope,62,0.35,48,-2
Krak-On Splat Roller,51,132,0.44,0.47,-0.03,50,-1,,,Custom Jet Squelcher,35,0.44,35,-16,,Undercover Brella,22,0.33,50,-1,,Bamboozler 14 Mk I,37,0.41,47,-4,,Firefin Splat Charger,20,0.31,32,-19,,,,,,,,,,Undercover Brella,56,0.32,50,-1
Firefin Splatterscope,52,122,0.41,0.47,-0.06,51,-1,,,Custom Splattershot Jr.,32,0.4,49,-3,,Firefin Splat Charger,22,0.33,32,-20,,L-3 Nozzlenose,35,0.39,54,2,,H-3 Nozzlenose,19,0.3,59,7,,,,,,,,,,Krak-On Splat Roller,56,0.32,51,-1
Tenta Brella,53,118,0.39,0.36,0.03,54,1,,,Aerospray MG,31,0.39,45,-8,,Custom Splattershot Jr.,21,0.32,49,-4,,Hydra Splatling,34,0.38,56,3,,E-liter 4K,19,0.3,57,4,,,,,,,,,,H-3 Nozzlenose,51,0.29,59,6
L-3 Nozzlenose,54,109,0.36,0.54,-0.18,44,-10,,,Aerospray RG,24,0.3,58,4,,Tenta Brella,19,0.29,53,-1,,E-liter 4K,29,0.32,57,3,,Hydra Splatling,17,0.27,56,2,,,,,,,,,,Custom Splattershot Jr.,47,0.27,49,-5
Inkbrush Nouveau,55,88,0.29,0.32,-0.03,56,1,,,Firefin Splatterscope,24,0.3,52,-3,,E-liter 4K,18,0.27,57,2,,Tenta Brella,27,0.3,53,-2,,Foil Flingza Roller,17,0.27,60,5,,,,,,,,,,Jet Squelcher,40,0.23,44,-11
Hydra Splatling,56,85,0.28,0.38,-0.1,53,-3,,,H-3 Nozzlenose,22,0.27,59,3,,Goo Tuber,17,0.26,62,6,,Aerospray RG,26,0.29,58,2,,Aerospray RG,14,0.22,58,2,,,,,,,,,,Hydra Splatling,39,0.22,56,0
E-liter 4K,57,80,0.27,0.3,-0.03,57,0,,,E-liter 4K Scope,20,0.25,48,-9,,Custom E-liter 4K Scope,16,0.24,61,4,,H-3 Nozzlenose,26,0.29,59,2,,Goo Tuber,13,0.2,62,5,,,,,,,,,,Aerospray RG,36,0.2,58,1
Aerospray RG,58,78,0.26,0.32,-0.06,55,-3,,,Hydra Splatling,19,0.24,56,-2,,Hydra Splatling,15,0.23,56,-2,,Krak-On Splat Roller,24,0.27,51,-7,,Aerospray MG,13,0.2,45,-13,,,,,,,,,,Inkbrush Nouveau,35,0.2,55,-3
H-3 Nozzlenose,59,74,0.25,0.29,-0.04,58,-1,,,Foil Flingza Roller,18,0.22,60,1,,Aerospray RG,14,0.21,58,-1,,Custom E-liter 4K Scope,16,0.18,61,2,,Custom E-liter 4K Scope,12,0.19,61,2,,,,,,,,,,E-liter 4K,32,0.18,57,-2
Foil Flingza Roller,60,67,0.22,0.21,0.01,61,1,,,E-liter 4K,14,0.17,57,-3,,Firefin Splatterscope,12,0.18,52,-8,,Inkbrush Nouveau,14,0.16,55,-5,,L-3 Nozzlenose,12,0.19,54,-6,,,,,,,,,,Custom E-liter 4K Scope,30,0.17,61,1
Custom E-liter 4K Scope,61,58,0.19,0.23,-0.04,59,-2,,,Flingza Roller,14,0.17,64,3,,Glooga Dualies,9,0.14,63,2,,Glooga Dualies,13,0.14,63,2,,Firefin Splatterscope,11,0.17,52,-9,,,,,,,,,,Foil Flingza Roller,29,0.16,60,-1
Goo Tuber,62,50,0.17,0.21,-0.04,60,-2,,,Custom E-liter 4K Scope,14,0.17,61,-1,,H-3 Nozzlenose,7,0.11,59,-3,,Flingza Roller,11,0.12,64,2,,Inkbrush Nouveau,9,0.14,55,-7,,,,,,,,,,Goo Tuber,25,0.14,62,0
Glooga Dualies,63,42,0.14,0.15,-0.01,62,-1,,,Goo Tuber,12,0.15,62,-1,,Custom E-liter 4K,6,0.09,65,2,,Foil Flingza Roller,10,0.11,60,-3,,Glooga Dualies,9,0.14,63,0,,,,,,,,,,Glooga Dualies,17,0.1,63,0
Flingza Roller,64,33,0.11,0.11,0,64,0,,,Glooga Dualies,11,0.14,63,-1,,Inkbrush Nouveau,5,0.08,55,-9,,Goo Tuber,8,0.09,62,-2,,Flingza Roller,4,0.06,64,0,,,,,,,,,,Flingza Roller,16,0.09,64,0
Custom E-liter 4K,65,21,0.07,0.14,-0.07,63,-2,,,Custom E-liter 4K,4,0.05,65,0,,Flingza Roller,4,0.06,64,-1,,Custom E-liter 4K,8,0.09,65,0,,Custom E-liter 4K,3,0.05,65,0,,,,,,,,,,Custom E-liter 4K,9,0.05,65,0
