All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
Sploosh-o-matic,11,599,2.53,2.48,0.05,10,-1,,,Octobrush,76,2.16,18,7,,Splat Brella,175,2.49,10,-1,,Splattershot Pro,192,2.48,13,2,,Forge Splattershot Pro,136,2.51,6,-5,,Curling-Bomb Launcher,96,0.41,,Splash Wall,443,1.87,,N-ZAP '89,311,2.3,8,-3
Tri-Slosher,12,586,2.47,2.61,-0.14,9,-3,,,Rapid Blaster,74,2.1,15,3,,Tri-Slosher,160,2.28,12,0,,Tri-Slosher,184,2.38,12,0,,Tri-Slosher,125,2.31,12,0,,,,,,,,,,Blaster,293,2.17,17,5
Splattershot Pro,13,479,2.02,2.44,-0.42,11,-2,,,Blaster,74,2.1,17,4,,Enperry Splat Dualies,157,2.23,16,3,,Rapid Blaster,159,2.06,15,2,,Splattershot Pro,124,2.29,13,0,,,,,,,,,,Sploosh-o-matic,290,2.14,11,-2
Luna Blaster,14,456,1.93,1.97,-0.04,13,-1,,,N-ZAP '89,72,2.05,8,-6,,Luna Blaster,140,1.99,14,0,,Sploosh-o-matic,138,1.79,11,-3,,Clash Blaster,113,2.09,25,11,,,,,,,,,,Enperry Splat Dualies,289,2.14,16,2
Rapid Blaster,15,445,1.88,1.76,0.12,16,1,,,Enperry Splat Dualies,72,2.05,16,1,,Blaster,140,1.99,17,2,,Splattershot Jr.,135,1.75,20,5,,Blaster,110,2.03,17,2,,,,,,,,,,Rapid Blaster,288,2.13,15,0
Enperry Splat Dualies,16,426,1.8,1.54,0.26,19,3,,,Splat Brella,70,1.99,10,-6,,Splatterscope,135,1.92,19,3,,Splatterscope,128,1.66,19,3,,Rapid Blaster,107,1.98,15,-1,,,,,,,,,,Luna Blaster,267,1.97,14,-2
Blaster,17,422,1.78,0.92,0.86,27,10,,,Luna Blaster,66,1.88,14,-3,,Octobrush,122,1.73,18,1,,Octobrush,116,1.5,18,1,,Splatterscope,105,1.94,19,2,,,,,,,,,,Splattershot Pro,222,1.64,13,-4
Octobrush,18,406,1.71,1.72,-0.01,17,-1,,,.52 Gal,56,1.59,23,5,,Splattershot Pro,120,1.71,13,-5,,Heavy Splatling,115,1.49,21,3,,Octobrush,92,1.7,18,0,,,,,,,,,,Heavy Splatling,216,1.6,21,3
Splatterscope,19,388,1.64,1.87,-0.23,15,-4,,,Heavy Splatling Deco,55,1.56,37,18,,Heavy Splatling,120,1.71,21,2,,Enperry Splat Dualies,114,1.48,16,-3,,Enperry Splat Dualies,83,1.53,16,-3,,,,,,,,,,Splatterscope,211,1.56,19,0
Splattershot Jr.,20,378,1.6,1.88,-0.28,14,-6,,,Splattershot Jr.,52,1.48,20,0,,Splattershot Jr.,118,1.68,20,0,,.96 Gal,107,1.38,22,2,,Sploosh-o-matic,82,1.52,11,-9,,,,,,,,,,Splattershot Jr.,193,1.43,20,0
Heavy Splatling,21,342,1.44,1.68,-0.24,18,-3,,,Splat Charger,47,1.34,9,-12,,Rapid Blaster,105,1.49,15,-6,,Luna Blaster,106,1.37,14,-7,,Carbon Roller,82,1.52,24,3,,,,,,,,,,.96 Gal,184,1.36,22,1
.96 Gal,22,289,1.22,1.17,0.05,22,0,,,Splattershot Pro,43,1.22,13,-9,,.52 Gal,89,1.27,23,1,,Mini Splatling,99,1.28,26,4,,Heavy Splatling,79,1.46,21,-1,,,,,,,,,,Octobrush,156,1.15,18,-4
.52 Gal,23,286,1.21,1.27,-0.06,20,-3,,,Dapple Dualies,42,1.19,27,4,,.96 Gal,79,1.12,22,-1,,Blaster,98,1.27,17,-6,,Splattershot Jr.,73,1.35,20,-3,,,,,,,,,,Custom Blaster,150,1.11,35,12
Carbon Roller,24,247,1.04,0.97,0.07,25,1,,,Krak-On Splat Roller,39,1.11,43,19,,Dapple Dualies,71,1.01,27,3,,Gold Dynamo Roller,81,1.05,34,10,,Splat Dualies,65,1.2,33,9,,,,,,,,,,Mini Splatling,146,1.08,26,2
Clash Blaster,25,241,1.02,1.1,-0.08,23,-2,,,Tenta Brella,39,1.11,42,17,,Custom Jet Squelcher,69,0.98,32,7,,Firefin Splat Charger,78,1.01,44,19,,.96 Gal,65,1.2,22,-3,,,,,,,,,,.52 Gal,144,1.06,23,-2
Mini Splatling,26,228,0.96,0.84,0.12,31,5,,,.96 Gal,38,1.08,22,-4,,Carbon Roller,67,0.95,24,-2,,.52 Gal,77,1,23,-3,,.52 Gal,64,1.18,23,-3,,,,,,,,,,Dynamo Roller,143,1.06,28,2
Dapple Dualies,27,225,0.95,0.95,0,26,-1,,,Custom Blaster,38,1.08,35,8,,Mini Splatling,66,0.94,26,-1,,Rapid Blaster Pro,77,1,36,9,,Dynamo Roller,59,1.09,28,1,,,,,,,,,,Slosher,115,0.85,30,3
Dynamo Roller,28,215,0.91,1.02,-0.11,24,-4,,,Inkbrush Nouveau,35,1,53,25,,Dynamo Roller,66,0.94,28,0,,Custom Splattershot Jr.,76,0.98,45,17,,Custom Jet Squelcher,54,1,32,4,,,,,,,,,,Rapid Blaster Pro,110,0.81,36,8
Dualie Squelchers,29,199,0.84,0.84,0,32,3,,,Carbon Roller,34,0.97,24,-5,,Custom Blaster,65,0.92,35,6,,Dynamo Roller,74,0.96,28,-1,,E-liter 4K Scope,54,1,38,9,,,,,,,,,,L-3 Nozzlenose,110,0.81,40,11
Slosher,30,199,0.84,0.86,-0.02,29,-1,,,Slosher,34,0.97,30,0,,Splash-o-matic,60,0.85,39,9,,Dualie Squelchers,66,0.85,29,-1,,Dualie Squelchers,49,0.91,29,-1,,,,,,,,,,Dapple Dualies,99,0.73,27,-3
Inkbrush,31,196,0.83,0.64,0.19,39,8,,,Clash Blaster,32,0.91,25,-6,,Dualie Squelchers,56,0.8,29,-2,,Slosher,66,0.85,30,-1,,Classic Squiffer,49,0.91,41,10,,,,,,,,,,Custom Jet Squelcher,98,0.72,32,1
Custom Jet Squelcher,32,195,0.82,0.8,0.02,33,1,,,L-3 Nozzlenose,30,0.85,40,8,,Slosher,53,0.75,30,-2,,Dapple Dualies,65,0.84,27,-5,,Dapple Dualies,47,0.87,27,-5,,,,,,,,,,Heavy Splatling Deco,97,0.72,37,5
Splat Dualies,33,188,0.79,0.62,0.17,40,7,,,Dualie Squelchers,28,0.8,29,-4,,Splat Dualies,52,0.74,33,0,,Carbon Roller,64,0.83,24,-9,,Slosher,46,0.85,30,-3,,,,,,,,,,Tenta Brella,93,0.69,42,9
Gold Dynamo Roller,34,185,0.78,0.78,0,34,0,,,Heavy Splatling,28,0.8,21,-13,,Clash Blaster,51,0.73,25,-9,,E-liter 4K Scope,64,0.83,38,4,,Rapid Blaster Pro,45,0.83,36,2,,,,,,,,,,Gold Dynamo Roller,87,0.64,34,0
Custom Blaster,35,183,0.77,0.28,0.49,52,17,,,Splat Dualies,27,0.77,33,-2,,E-liter 4K Scope,50,0.71,38,3,,Heavy Splatling Deco,61,0.79,37,2,,Mini Splatling,40,0.74,26,-9,,,,,,,,,,Carbon Roller,86,0.64,24,-11
Rapid Blaster Pro,36,176,0.74,0.9,-0.16,28,-8,,,Splash-o-matic,25,0.71,39,3,,L-3 Nozzlenose,49,0.7,40,4,,Firefin Splatterscope,57,0.74,48,12,,Krak-On Splat Roller,39,0.72,43,7,,,,,,,,,,Inkbrush,84,0.62,31,-5
Heavy Splatling Deco,37,170,0.72,0.41,0.31,48,11,,,Firefin Splat Charger,24,0.68,44,7,,Inkbrush,48,0.68,31,-6,,Custom Jet Squelcher,55,0.71,32,-5,,Gold Dynamo Roller,38,0.7,34,-3,,,,,,,,,,Clash Blaster,83,0.61,25,-12
E-liter 4K Scope,38,168,0.71,0.74,-0.03,36,-2,,,Mini Splatling,23,0.65,26,-12,,Classic Squiffer,46,0.65,41,3,,Splash-o-matic,53,0.69,39,1,,Heavy Splatling Deco,34,0.63,37,-1,,,,,,,,,,Dualie Squelchers,81,0.6,29,-9
Splash-o-matic,39,165,0.7,0.77,-0.07,35,-4,,,Gold Dynamo Roller,23,0.65,34,-5,,Gold Dynamo Roller,43,0.61,34,-5,,L-3 Nozzlenose,51,0.66,40,1,,Tenta Brella,33,0.61,42,3,,,,,,,,,,E-liter 4K Scope,77,0.57,38,-1
L-3 Nozzlenose,40,155,0.65,0.49,0.16,44,4,,,Jet Squelcher,22,0.63,46,6,,Tenta Brella,37,0.53,42,2,,Custom Blaster,50,0.65,35,-5,,Custom Blaster,30,0.55,35,-5,,,,,,,,,,Firefin Splat Charger,76,0.56,44,4
Classic Squiffer,41,145,0.61,0.53,0.08,42,1,,,Hydra Splatling,22,0.63,47,6,,Bamboozler 14 Mk I,35,0.5,49,8,,Hydra Splatling,47,0.61,47,6,,Inkbrush,29,0.54,31,-10,,,,,,,,,,Splash-o-matic,73,0.54,39,-2
Tenta Brella,42,141,0.6,0.59,0.01,41,-1,,,Rapid Blaster Pro,20,0.57,36,-6,,Jet Squelcher,35,0.5,46,4,,Jet Squelcher,45,0.58,46,4,,E-liter 4K,28,0.52,51,9,,,,,,,,,,Bamboozler 14 Mk I,73,0.54,49,7
Krak-On Splat Roller,43,135,0.57,0.45,0.12,46,3,,,Splatterscope,20,0.57,19,-24,,Rapid Blaster Pro,34,0.48,36,-7,,Clash Blaster,45,0.58,25,-18,,Jet Squelcher,28,0.52,46,3,,,,,,,,,,Splat Dualies,72,0.53,33,-10
Firefin Splat Charger,44,135,0.57,0.35,0.22,50,6,,,Custom Jet Squelcher,17,0.48,32,-12,,H-3 Nozzlenose,32,0.46,52,8,,Splat Dualies,44,0.57,33,-11,,Splash-o-matic,27,0.5,39,-5,,,,,,,,,,H-3 Nozzlenose,61,0.45,52,8
Custom Splattershot Jr.,45,133,0.56,0.84,-0.28,30,-15,,,Custom Splattershot Jr.,17,0.48,45,0,,Krak-On Splat Roller,31,0.44,43,-2,,Classic Squiffer,41,0.53,41,-4,,Hydra Splatling,27,0.5,47,2,,,,,,,,,,Hydra Splatling,60,0.44,47,2
Jet Squelcher,46,130,0.55,0.68,-0.13,38,-8,,,Dynamo Roller,16,0.46,28,-18,,Aerospray MG,30,0.43,50,4,,H-3 Nozzlenose,38,0.49,52,6,,L-3 Nozzlenose,25,0.46,40,-6,,,,,,,,,,Krak-On Splat Roller,57,0.42,43,-3
Hydra Splatling,47,121,0.51,0.74,-0.23,37,-10,,,Firefin Splatterscope,16,0.46,48,1,,Firefin Splatterscope,28,0.4,48,1,,Aerospray MG,36,0.47,50,3,,Bamboozler 14 Mk I,24,0.44,49,2,,,,,,,,,,Firefin Splatterscope,57,0.42,48,1
Firefin Splatterscope,48,113,0.48,0.4,0.08,49,1,,,Aerospray MG,15,0.43,50,2,,Hydra Splatling,25,0.36,47,-1,,E-liter 4K,36,0.47,51,3,,Custom Splattershot Jr.,21,0.39,45,-3,,,,,,,,,,Classic Squiffer,56,0.41,41,-7
Bamboozler 14 Mk I,49,106,0.45,0.47,-0.02,45,-4,,,Bamboozler 14 Mk I,13,0.37,49,0,,E-liter 4K,24,0.34,51,2,,Aerospray RG,34,0.44,54,5,,H-3 Nozzlenose,19,0.35,52,3,,,,,,,,,,Custom Splattershot Jr.,49,0.36,45,-4
Aerospray MG,50,96,0.41,0.27,0.14,53,3,,,Aerospray RG,11,0.31,54,4,,Glooga Dualies,20,0.28,55,5,,Bamboozler 14 Mk I,34,0.44,49,-1,,Firefin Splat Charger,16,0.3,44,-6,,,,,,,,,,Aerospray MG,42,0.31,50,0
E-liter 4K,51,94,0.4,0.43,-0.03,47,-4,,,Slosher Deco,10,0.28,56,5,,Heavy Splatling Deco,20,0.28,37,-14,,Inkbrush,33,0.43,31,-20,,Aerospray RG,16,0.3,54,3,,,,,,,,,,Slosher Deco,41,0.3,56,5
H-3 Nozzlenose,52,91,0.38,0.49,-0.11,43,-9,,,Classic Squiffer,9,0.26,41,-11,,Custom Splattershot Jr.,19,0.27,45,-7,,Tenta Brella,32,0.41,42,-10,,Aerospray MG,15,0.28,50,-2,,,,,,,,,,E-liter 4K,37,0.27,51,-1
Inkbrush Nouveau,53,76,0.32,0.16,0.16,56,3,,,Glooga Dualies,8,0.23,55,2,,Firefin Splat Charger,17,0.24,44,-9,,Glooga Dualies,26,0.34,55,2,,Inkbrush Nouveau,14,0.26,53,0,,,,,,,,,,Jet Squelcher,33,0.24,46,-7
Aerospray RG,54,73,0.31,0.31,0,51,-3,,,Custom E-liter 4K,6,0.17,61,7,,Goo Tuber,17,0.24,57,3,,Krak-On Splat Roller,26,0.34,43,-11,,Goo Tuber,13,0.24,57,3,,,,,,,,,,Glooga Dualies,32,0.24,55,1
Glooga Dualies,55,67,0.28,1.22,-0.94,21,-34,,,E-liter 4K,6,0.17,51,-4,,Inkbrush Nouveau,15,0.21,53,-2,,Slosher Deco,21,0.27,56,1,,Glooga Dualies,13,0.24,55,0,,,,,,,,,,Aerospray RG,31,0.23,54,-1
Slosher Deco,56,57,0.24,,,,,,,Foil Flingza Roller,5,0.14,58,2,,Slosher Deco,13,0.18,56,0,,Custom E-liter 4K Scope,16,0.21,59,3,,Slosher Deco,13,0.24,56,0,,,,,,,,,,Inkbrush Nouveau,29,0.21,53,-3
Goo Tuber,57,45,0.19,0.17,0.02,55,-2,,,Goo Tuber,4,0.11,57,0,,Aerospray RG,12,0.17,54,-3,,Foil Flingza Roller,15,0.19,58,1,,Firefin Splatterscope,12,0.22,48,-9,,,,,,,,,,Custom E-liter 4K Scope,16,0.12,59,2
Foil Flingza Roller,58,44,0.19,0.2,-0.01,54,-4,,,H-3 Nozzlenose,2,0.06,52,-6,,Foil Flingza Roller,12,0.17,58,0,,Inkbrush Nouveau,12,0.16,53,-5,,Foil Flingza Roller,12,0.22,58,0,,,,,,,,,,Foil Flingza Roller,14,0.1,58,0
Custom E-liter 4K Scope,59,32,0.14,0.11,0.03,57,-2,,,Flingza Roller,2,0.06,60,1,,Flingza Roller,7,0.1,60,1,,Goo Tuber,11,0.14,57,-2,,Custom E-liter 4K Scope,9,0.17,59,0,,,,,,,,,,Goo Tuber,14,0.1,57,-2
Flingza Roller,60,25,0.11,0.1,0.01,58,-2,,,,,,,,,Custom E-liter 4K Scope,7,0.1,59,-1,,Flingza Roller,9,0.12,60,0,,Flingza Roller,7,0.13,60,0,,,,,,,,,,Flingza Roller,8,0.06,60,0
Custom E-liter 4K,61,20,0.08,0.07,0.01,59,-2,,,,,,,,,Custom E-liter 4K,2,0.03,61,0,,Custom E-liter 4K,8,0.1,61,0,,Custom E-liter 4K,4,0.07,61,0,,,,,,,,,,Custom E-liter 4K,8,0.06,61,0
